id,display_title,main_artist,song_title,music8_artist_slug,music8_song_slug,spotify_artists,slug_candidates
8a743ac3-dc12-44d6-8631-ffe8f8b75ffa,Black Eyed Peas - Don't You Worry,Black Eyed Peas,Don't You Worry,black-eyed-peas,dont-you-worry-2,"BlackEyedPeas,Shakira,DavidGuetta",black-eyed-peas/dont-you-worry-2; blackeyedpeas/dont-you-worry-2
8f3ad963-5e07-4c0b-80cc-e0a897cecbe9,Black Eyed Peas - Rock That Body Hq,Black Eyed Peas,Rock That Body Hq,,,"Sérgio Mendes, Black Eyed Peas",black-eyed-peas/rock-that-body-hq; sergio-mendes/rock-that-body-hq
def51016-10c2-46d4-b7e2-94be083fe335,Blake Shelton - Purple Irises,Blake Shelton,Purple Irises,blake-shelton,purple-irises-2,"Gwen Stefani, Blake Shelton",blake-shelton/purple-irises-2; gwen-stefani/purple-irises-2
ef852040-da94-4ba4-88d0-78c65f74662a,Bon Iver - Weird Goodbyes,Bon Iver,Weird Goodbyes,bon-iver,weird-goodbyes,"ザ・ナショナル, ボン・イヴェール",bon-iver/weird-goodbyes
9eaf5caa-fe1b-415b-a96c-89ddcf145139,Bon Jovi - The Peoples House,Bon Jovi,The Peoples House,bon-jovi,the-peoples-house,"War And Treaty, War And Treaty",bon-jovi/the-peoples-house; war/the-peoples-house
45b2f931-9c28-44e3-ac74-07f63124e0c6,Bootsy Collins - Hip Hop Lollipop,Bootsy Collins,Hip Hop Lollipop,bootsy-collins,hip-hop-lollipop,"BootsyCollins,Fantaazma,VictorWooten",bootsy-collins/hip-hop-lollipop; bootsycollins/hip-hop-lollipop
fdc4131a-39af-4fc0-b3fd-59a47c6a160d,BossLife Big Spence - Pimpin Like Kenny Red,BossLife Big Spence,Pimpin Like Kenny Red,bosslife-big-spence,pimpin-like-kenny-red,"Too $hort, Larry June, BossLife Big Spence",bosslife-big-spence/pimpin-like-kenny-red; too-hort/pimpin-like-kenny-red; larry-june/pimpin-like-kenny-red
bd7fd9cc-14b9-48fb-82eb-ae7a22fcbad2,"Bou - Baddadan Ft. Irah, Flowdan, Trigga, Takura",Bou,"Baddadan Ft. Irah, Flowdan, Trigga, Takura",bou,baddadan-ft-irah-flowdan-trigga-takura,"Chase and Status, Bou",bou/baddadan-ft-irah-flowdan-trigga-takura; chase/baddadan-ft-irah-flowdan-trigga-takura
226c9080-3e01-46a2-9a98-8091a73c6b1d,Calvin Harris - Stay With Me,Calvin Harris,Stay With Me,calvin-harris,stay-with-me-2,"CalvinHarris,JustinTimberlake,Halsey,PharrellWilliams",calvin-harris/stay-with-me-2; calvinharris/stay-with-me-2
537bc825-e4b5-4037-aaf2-175cfc2f561f,Camila Cabello - Hot Uptown,Camila Cabello,Hot Uptown,camila-cabello,hot-uptown,"カミラ・カベロ, ドレイク",camila-cabello/hot-uptown
1d4af545-9bed-440a-a269-c5d0c2b23c8c,Camila Cabello - Psychofreak,Camila Cabello,Psychofreak,camila-cabello,psychofreak,"CamilaCabello,WILLOW",camila-cabello/psychofreak; camilacabello/psychofreak
cc0ee585-73b9-48ef-9539-ad6ad8ddea06,Camila Cabello - Senorita,Camila Cabello,Senorita,camila-cabello,senorita,"ショーン・メンデス, カミラ・カベロ",camila-cabello/senorita
792040b1-6e8f-419b-8e4c-ce211bb4bb8c,Carpenter Brut - Doom Dance,Carpenter Brut,Doom Dance,carpenter-brut,doom-dance-2,"Gunship, Carpenter Brut, Gavin Rossdale",carpenter-brut/doom-dance-2; gunship/doom-dance-2; gavin-rossdale/doom-dance-2
8aadaef9-aa5f-4958-97bc-255370358f25,Central Cee - Overseas,Central Cee,Overseas,central-cee,overseas,"D-Block Europe, Central Cee",central-cee/overseas; d-block-europe/overseas
0d346f3a-f920-4359-9592-40f9f297066d,Channy Leaneagh - I'll Wait,Channy Leaneagh,I'll Wait,channy-leaneagh,ill-wait-le-youth-remix,"Lane8, Channy Leaneagh, Le Youth",channy-leaneagh/ill-wait-le-youth-remix; lane8/ill-wait-le-youth-remix; le-youth/ill-wait-le-youth-remix
7a817778-8ea0-466d-b67f-986d9b6264a2,Charlotte Sands - Loved You A Little,Charlotte Sands,Loved You A Little,charlotte-sands,loved-you-a-little,"TheMaine,TakingBackSunday,CharlotteSands",charlotte-sands/loved-you-a-little; themaine/loved-you-a-little
a46dd2cd-a817-45ff-86bc-e6523a62b9e1,Chicane - Saltwater,Chicane,Saltwater,chicane,saltwater-2,"Chicane, Moya Brennan",chicane/saltwater-2; moya-brennan/saltwater-2
cbb6d798-1b47-471f-abd7-ba14a0cf90c7,Childish Gambino - Witchy,Childish Gambino,Witchy,childish-gambino,witchy-2,"KAYTRANADA, Childish Gambino",childish-gambino/witchy-2; kaytranada/witchy-2
fc14bc25-a26b-4d82-b363-07b06eeb0fec,JID - Sk8,JID,Sk8,jid,,"JID, Ciara, EARTHGANG",jid/sk8; ciara/sk8; earthgang/sk8
8b6b3504-4449-40a1-be2f-6831842cb42c,Coolio - Gangsta's Paradise,Coolio,Gangsta's Paradise,,,"Coolio, L.V.",coolio/gangstas-paradise; l-v/gangstas-paradise
8040a05a-003f-43ea-9a28-8f35e4502926,Daft Punk - Get Lucky,Daft Punk,Get Lucky,,,"Daft Punk, Pharrell Williams, Nile Rodgers",daft-punk/get-lucky; pharrell-williams/get-lucky; nile-rodgers/get-lucky
2230e389-1435-450a-9130-4816853dd418,Dash Berlin - Time After Time,Dash Berlin,Time After Time,dash-berlin,time-after-time-2,"DashBerlin,DubVision,EmmaHewitt",dash-berlin/time-after-time-2; dashberlin/time-after-time-2
47d3b130-8786-4efb-9a3d-f61c65aa96c4,David Bowie - This Is Not America,David Bowie,This Is Not America,,,"David Bowie, Pat Metheny Group",david-bowie/this-is-not-america; pat-metheny-group/this-is-not-america
58eb1db8-69f2-4973-9482-ae4693d71f2e,David Guetta - Ameno Amapiano,David Guetta,Ameno Amapiano,david-guetta,ameno-amapiano-you-wanna-bamba,"GoyaMenor,Nektunez,DavidGuetta",david-guetta/ameno-amapiano-you-wanna-bamba; goyamenor/ameno-amapiano-you-wanna-bamba
826c07f4-fd06-439f-85cf-82fa0883498e,David Guetta - Jennifer Lopez & David Guetta - Save Me Tonight,David Guetta,Jennifer Lopez & David Guetta - Save Me Tonight,,,"Jennifer Lopez, David Guetta, Seth Hills",david-guetta/jennifer-lopez-david-guetta-save-me-tonight; jennifer-lopez/jennifer-lopez-david-guetta-save-me-tonight; seth-hills/jennifer-lopez-david-guetta-save-me-tonight
4a05f86e-6328-4fe5-8fa5-fd8ec3e1afb6,David Guetta - Pum Pum,David Guetta,Pum Pum,david-guetta,pum-pum-2,"Dimitri Vegas, David Guetta, Loreen",david-guetta/pum-pum-2; dimitri-vegas/pum-pum-2; loreen/pum-pum-2
