title	parsed_artists	credits	spotify_artists
Lizzo - Sexy Ladies	Lizzo / UCB (Uncalled 4 Band)	1	Lizzo, UCB (Uncalled 4 Band)
Ian Dury - Hit Me With Your Rhythm Stick	Ian Dury / The Blockheads	1	Ian Dury, The Blockheads
Depeche Mode - Personal Jesus	Depeche Mode / Francois Kevorkian	1	Depeche Mode, Francois Kevorkian
Steve Aoki - Tank (From Cowboy Bebop) Steve Aoki Remix	SEATBELTS / Steve Aoki	1	SEATBELTS, Steve Aoki
Shakira - Zoo	Disney / Shakira	1	Disney, Shakira
Thompson Twins - Lay Your Hands On Me	Thompson Twins / James Farber	1	Thompson Twins, James Farber
宇多田ヒカル - Face My Fears (A. G. Cook Remix) Musicvideo	Hikaru Utada / A. G. Cook	1	Hikaru Utada, A. G. Cook
Chainsmokers - Good Intentions	The Chainsmokers / BullySongs	1	The Chainsmokers, BullySongs
Jon Hopkins - Ritual	Jon Hopkins / Vylana / 7RAYS / Ishq / Cherif Hashizume	1	Jon Hopkins, Vylana, 7RAYS, Ishq, Cherif Hashizume
Will Smith - Pretty Girls	Will Smith / OBanga	1	Will Smith, OBanga
Erykah Badu - Witch Doctor	Erykah Badu / The Alchemist	1	Erykah Badu, The Alchemist
Tate McRae - I Know Love	Tate McRae / The Kid LAROI	1	Tate McRae, The Kid LAROI
Kyndle Wylde - Pour Some Sugar On Me	Scott Bradlee's Postmodern Jukebox / Kyndle Wylde	1	Scott Bradlee's Postmodern Jukebox, Kyndle Wylde
Mary J. Blige - Here With Me	Mary J. Blige / Anderson. Paak	1	Mary J. Blige, Anderson. Paak
Chainsmokers - Helium	The Chainsmokers / Anna Sofia	1	The Chainsmokers, Anna Sofia
Halflives - Rockstar Everyday	Halflives / MC4D	1	Halflives, MC4D
Something Corporate - Happy	Something Corporate / Andrew McMahon	1	Something Corporate, Andrew McMahon
Angelina Jordan - Bad Valentine	Toby Gad / Angelina Jordan	1	Toby Gad, Angelina Jordan
Carly Rae Jepsen - Move Me	Lewis Of Man / Carly Rae Jepsen	1	Lewis Of Man, Carly Rae Jepsen
Weeknd - Double Fantasy	The Weeknd / Future	1	The Weeknd, Future
Doechii - Anxiety	Sleepy Hallow / Doechii	1	Sleepy Hallow, Doechii
Micah McLaurin - Macarthur Park	Micah McLaurin / Amber Riley v	1	Micah McLaurin, Amber Riley v
Chad Kroeger - Ragdoll	The Lottery Winners / Chad Kroeger	1	The Lottery Winners, Chad Kroeger
Change - Let's Go Together	Change / P. Slade	1	Change, P. Slade
Zedd - Happy Now	Zedd / Elley Duh?	1	Zedd, Elley Duh?
Martin Garrix - Butterflies	Martin Garrix, Matisse & Sadko / BARBZ	1	Martin Garrix, Matisse & Sadko, BARBZ
Camila Cabello - Bad Things	mgk / Camila Cabello	1	mgk, Camila Cabello
Danny Boy - My Everything	Danny Boy / Danny Boy	1	Danny Boy, Danny Boy
Depeche Mode - Suffer Well	Depeche Mode / Steve Fitzmaurice	1	Depeche Mode, Steve Fitzmaurice
Chicane - Don't Give Up	Chicane / Bryan Adams, Agnelli & Nelson	1	Chicane, Bryan Adams, Agnelli & Nelson
Rob Dougan - Clubbed To Death	Rob Dougan / Maxence Cyrin	1	Rob Dougan, Maxence Cyrin
ash - Keep Dreaming	Ash / Antosh / Anthony Neale	1	Ash, Antosh, Anthony Neale
John Davis and the Monster Orchestra - I Can't Stop	John Davis & The Monster Orchestra / DJ Jazzy Jeff / Louie Vega	1	John Davis & The Monster Orchestra, DJ Jazzy Jeff, Louie Vega
Lalah Hathaway - 47th Street	Lalah Hathaway / J. Ivy	1	Lalah Hathaway, J. Ivy
Marie Davidson - Y.a.a.m.	Marie Davidson / Soulwax	1	Marie Davidson, Soulwax
Fetty Wap - White Roses	Fetty Wap / Divinity / Ymanie	1	Fetty Wap, Divinity, Ymanie
HOME - Tell Me	lavender home / soave lofi	1	lavender home, soave lofi
Knocks - The Hero	The Knocks / Dragonette	1	The Knocks, Dragonette
Prof - Good Time Boy	Prof / Fueled by 808	1	Prof, Fueled by 808
Emma Smith - Lovesong	Scott Bradlee's Postmodern Jukebox / Emma Smith	1	Scott Bradlee's Postmodern Jukebox, Emma Smith
Robert Smith - Girls Float + Boys Cry	✝✝✝ (Crosses) / Robert Smith	1	✝✝✝ (Crosses), Robert Smith
Ultra Naté - Movin’ To The Sun	HUGEL / Imael Angel / Ultra Naté	1	HUGEL, Imael Angel, Ultra Naté
Knocks - Dreams	The Knocks / Dragonette	1	The Knocks, Dragonette
IDLES - Rabbit Run	Caught Stealing Movie / IDLES	1	Caught Stealing Movie, IDLES
Depeche Mode - Precious	Depeche Mode / Steve Fitzmaurice	1	Depeche Mode, Steve Fitzmaurice
Knocks - Love Me Alive	The Knocks / Dragonette	1	The Knocks, Dragonette
Erykah Badu - Next To You	Erykah Badu / The Alchemist	1	Erykah Badu, The Alchemist
Grace VanderWaal - Babydoll	Grace VanderWaal / Aliyah's Interlude	1	Grace VanderWaal, Aliyah's Interlude
Aldous Harding - Venus In The Zinnia	Aldous Harding / H. Hawkline	1	Aldous Harding, H. Hawkline
Modern Talking - You're My Heart, You're My Soul	Modern Talking / Eric Singleton	1	Modern Talking, Eric Singleton
a-ha - Hunting High And Low	a-ha / John Ratcliff	1	a-ha, John Ratcliff
Cardinals - Over At Last	Pyotr Ilyich Tchaikovsky / Royal Philharmonic Orchestra / Lucy Parham / Philip Ellis	1	Pyotr Ilyich Tchaikovsky, Royal Philharmonic Orchestra, Lucy Parham, Philip Ellis
Fred Durst - Fix Ur Face	mgk / Fred Durst	1	mgk, Fred Durst
Rejjie Snow - Virgo	Rejjie Snow / Jared Pellerin	1	Rejjie Snow, Jared Pellerin
Vernon Burch - Do It To Me	Furacão 2000 / Vernon Burch	1	Furacão 2000, Vernon Burch
Cathy Dennis - C'mon And Get My Love	D Mob / Cathy Dennis	1	D Mob, Cathy Dennis
Various Artists - We Don't Talk About Bruno	Carolina Gaitán - La Gaita / Mauro Castillo / Adassa / Rhenzy Feliz / Diane Guerrero / Stephanie Beatriz / Encanto - Cast	1	Carolina Gaitán - La Gaita, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz, Encanto - Cast
Grimes - Miku-maxxing	BEYOND BORDERs / Hatsune Miku / Grimes	1	BEYOND BORDERs, Hatsune Miku, Grimes, さたぱんP
Gaslight Anthem - History Books	The Gaslight Anthem / Bruce Springsteen	1	The Gaslight Anthem, Bruce Springsteen
Park Avenue - Thinking	CloudNone / Park Avenue	1	CloudNone, Park Avenue
Samurai Pizza Cats - Ramen-man	Samurai Pizza Cats / BABYBEARD	1	Samurai Pizza Cats, BABYBEARD
Emily Makis - Phoneline	Pola & Bryson / Emily Makis	1	Pola & Bryson, Emily Makis
Struts - Low Key In Love	The Struts / paris jackson	1	The Struts, paris jackson
Martin Garrix - ⁠⁠Butterflies	Martin Garrix, Matisse & Sadko / BARBZ	1	Martin Garrix, Matisse & Sadko, BARBZ
Travis - Turn	Randy Travis / Josh Turner	1	Randy Travis, Josh Turner
Infected Mushroom - I Wish	Infected Mushroom / Skazi	1	Infected Mushroom, Skazi
Blxst - Whatcha Gotta Say	thủy / Blxst	1	thủy, Blxst
Bon Jovi - The Peoples House	War And Treaty / War And Treaty	1	War And Treaty, War And Treaty
Score - Down With The Wolves	The Score / 2WEI	1	The Score, 2WEI
Change - Magical Night	Figo Sound / Change	1	Figo Sound, Change
The Cardigans - Burning Down The House	Tom Jones / The Cardigans	1	Tom Jones, The Cardigans
Beck - In The Night	Cage The Elephant / Beck	1	Cage The Elephant, Beck
Chainsmokers - White Wine & Adderall	The Chainsmokers / Beau Nox	1	The Chainsmokers, Beau Nox
The Jacksons - State Of Shock	The Jacksons / Mick Jagger	1	The Jacksons, Mick Jagger
Backstreet Boys - Bottle Up	Backstreet Boys / PAW Patrol	1	Backstreet Boys, PAW Patrol
Nelly - Grillz	Nelly / Paul Wall, Ali & Gipp	1	Nelly, Paul Wall, Ali & Gipp
Babyface - He Don't Know Nothin' Bout It	Jam & Lewis / Babyface	1	Jam & Lewis, Babyface
Rexx Life Raj - Hook Mitchell	Rexx Life Raj / Dame D.O.L.L.A	1	Rexx Life Raj, Dame D.O.L.L.A
Stevie Wonder - Isn't She Lovely	Stevie Wonder / Ulrik Lundström	1	Stevie Wonder, Ulrik Lundström
Kim Wilde - Scorpio	Kim Wilde / Cenzo	1	Kim Wilde, Cenzo
Friendly Fires - Before Your Eyes	Friendly Fires / The Asphodells	1	Friendly Fires, The Asphodells
The Jonas Brothers - Cliche Remix	mgk / Jonas Brothers	1	mgk, Jonas Brothers
Blancmange - Living On The Ceiling	Blancmange / Dennis Weinrich with John O.Williams	1	Blancmange, Dennis Weinrich with John O.Williams
Kamelot - Ashen World	Kamelot / Ignacia Fernandez	1	Kamelot, Ignacia Fernandez
Teddy Swims - Are You Even Real	Teddy Swims / Giveon	1	Teddy Swims, Giveon
Smoove & Turrell - This Time	Diego Lo / Smoove2	1	Diego Lo, Smoove2
Izo FitzRoy - Youre Gone	Smoove & Turrell / Izo FitzRoy	1	Smoove & Turrell, Izo FitzRoy
The Avalanches - Together	The Avalanches / Nikki Nair / Jessy Lanza / Prentiss	1	The Avalanches, Nikki Nair, Jessy Lanza, Prentiss
Kid LAROI - Stay	The Kid LAROI / Justin Bieber	1	The Kid LAROI, Justin Bieber
Dababy - Save Me	Goldiie Lux / DaBaby	1	Goldiie Lux, DaBaby
KnowKnow - Disappointed	88rising / KnowKnow	1	88rising, KnowKnow
Phoenix - Monologue	Rise Above / Phoenix	1	Rise Above, Phoenix
Loathe - Revenant	Loathe / NOWHERE2RUN	1	Loathe, NOWHERE2RUN
Depeche Mode - Barrel Of A Gun	Depeche Mode / Q / Tim Simenon	1	Depeche Mode, Q, Tim Simenon
Tha Eastsidaz - Still Easty	Tha Eastsidaz / 7sJejS8qs6493EuE3dEBYl	1	Tha Eastsidaz, 7sJejS8qs6493EuE3dEBYl
Estelle - Fire	Estelle / Joi	1	Estelle, Joi
Kungs - This Girl	Kungs / Cookin' On 3 Burners	1	Kungs, Cookin' On 3 Burners
NF - Who I Was	NF / mgk	1	NF, mgk
Music Travel Love	Music Travel Love / Dan Lagroma	1	Music Travel Love, Dan Lagroma
Against The Current - Legends Never Die	League of Legends / Against The Current	1	League of Legends, Against The Current
Spoiled - Ravenous	The Spoiled / Corlyx	1	The Spoiled, Corlyx
Meghan Trainor - Holidays	Meghan Trainor / Earth, Wind & Fire	1	Meghan Trainor, Earth, Wind & Fire
Weezer - C.e.o.	Weezer / Best Coast	1	Weezer, Best Coast
Instant Funk - I Got My Mind Made Up	Instant Funk / Late Nite Tuff Guy	1	Instant Funk, Late Nite Tuff Guy
Eminem - Payback	Lloyd Banks / 50 Cent	1	Lloyd Banks, 50 Cent
Carín León - Love To Be Loved	The Warning / Carín León	1	The Warning, Carín León
E-40 - The Bay	E-40 / Turf Talk	1	E-40, Turf Talk
Forrest Frank - Lemonade	Forrest Frank / The Figs	1	Forrest Frank, The Figs
Armin van Buuren - Epica Maxima	Jean-Michel Jarre / Armin van Buuren	1	Jean-Michel Jarre, Armin van Buuren
Christopher Jackson - Man Of War	Christopher Jackson / Lin-Manuel Miranda / Leslie Odom Jr. / Original Broadway Cast of Hamilton	1	Christopher Jackson, Lin-Manuel Miranda, Leslie Odom Jr., Original Broadway Cast of Hamilton
NATIVE HOWL - Mercy	The Native Howl / Lzzy Hale	1	The Native Howl, Lzzy Hale
Wynne - Big Stepper	Lunv Loyal / YTG / Deech / Yvngboi P	1	Lunv Loyal, YTG, Deech, Yvngboi P
Moonspell - The Great Wolf In The Sky	Moonspell / Alicia Nurho	1	Moonspell, Alicia Nurho
The Struts - Rock 'N' Roll Fantasy	Bad Company / The Struts	1	Bad Company, The Struts
GAYLE - Kinda Smacks	Royal & the Serpent / GAYLE	1	Royal & the Serpent, GAYLE
Friendly Fires - Paris	Friendly Fires / Au Revoir Simone	1	Friendly Fires, Au Revoir Simone
Donavon Frankenreiter - I'll Come A-runnin'	Donavon Frankenreiter / OurVinyl	1	Donavon Frankenreiter, OurVinyl
Rolling Stones - Bite My Head Off	The Rolling Stones / Paul McCartney	1	The Rolling Stones, Paul McCartney
Kid LAROI - Go	The Kid LAROI / Juice WRLD	1	The Kid LAROI, Juice WRLD
Against The Current - Almost Forgot	Against The Current / Ryan Riback	1	Against The Current, Ryan Riback
BELPierre de Maere - These Walls	Dua Lipa / Pierre de Maere	1	Dua Lipa, Pierre de Maere
Folded - Kehlani	Kehlani / COLORS	1	Kehlani, COLORS
Point North - Safe And Sound	Point North / The Ghost Inside	1	Point North, The Ghost Inside
Chainsmokers - Who Do You Love	The Chainsmokers / 5 Seconds of Summer	1	The Chainsmokers, 5 Seconds of Summer
Knocks - Foolish Pleasure	The Knocks / Dragonette	1	The Knocks, Dragonette
Bebe Rexha - $.H.i.t	David Guetta / Bebe Rexha	1	David Guetta, Bebe Rexha
The S.O.S. Band - Take Your Time	The S.O.S Band / Ms. Angela	1	The S.O.S Band, Ms. Angela
Chicago - Free	John Williams / Chicago Symphony Orchestra	1	John Williams, Chicago Symphony Orchestra
Julia Wolf - Iris	mgk / Julia Wolf	1	mgk, Julia Wolf
Post Malone - Wasting Angels	Post Malone / The Kid LAROI	1	Post Malone, The Kid LAROI
